time	V(rs)	V(vout)
0.000000000000000e+00	0.000000e+00	2.117422e-04
1.000000000000000e-07	0.000000e+00	2.117422e-04
1.000010000000000e-07	1.600000e-01	8.935518e-04
1.000030000000000e-07	4.800000e-01	3.363235e-03
1.000060102383222e-07	9.616382e-01	9.293403e-03
1.000088449220501e-07	1.415187e+00	1.572850e-02
1.000100000000000e-07	1.600000e+00	1.813635e-02
1.000101155077950e-07	1.600000e+00	1.828519e-02
1.000103465233850e-07	1.600000e+00	1.850568e-02
1.000108085545649e-07	1.600000e+00	1.875506e-02
1.000117326169249e-07	1.600000e+00	1.897639e-02
1.000129072844209e-07	1.600000e+00	1.907053e-02
1.000152566194131e-07	1.600000e+00	1.912258e-02
1.000186170872321e-07	1.600000e+00	1.917666e-02
1.000253380228702e-07	1.600000e+00	1.929307e-02
1.000387798941463e-07	1.600000e+00	1.967957e-02
1.000656636366985e-07	1.600000e+00	2.165624e-02
1.000925903942365e-07	1.600000e+00	2.735137e-02
1.001246680372029e-07	1.600000e+00	4.220056e-02
1.001571761177645e-07	1.600000e+00	6.812701e-02
1.002152955952318e-07	1.600000e+00	1.311786e-01
1.002756315393993e-07	1.600000e+00	2.043447e-01
1.003531446572344e-07	1.600000e+00	2.952084e-01
1.004525682689249e-07	1.600000e+00	3.907104e-01
1.006293336839936e-07	1.600000e+00	5.079743e-01
1.008803650063171e-07	1.600000e+00	6.053141e-01
1.011672424110032e-07	1.600000e+00	6.608039e-01
1.014886632000809e-07	1.600000e+00	6.893396e-01
1.019251267972166e-07	1.600000e+00	7.072470e-01
1.025815072043313e-07	1.600000e+00	7.198505e-01
1.035580697043313e-07	1.600000e+00	7.290308e-01
1.045346322043313e-07	1.600000e+00	7.343742e-01
1.055111947043313e-07	1.600000e+00	7.381830e-01
1.064877572043313e-07	1.600000e+00	7.412732e-01
1.074643197043313e-07	1.600000e+00	7.438349e-01
1.084408822043313e-07	1.600000e+00	7.459745e-01
1.094174447043313e-07	1.600000e+00	7.477764e-01
1.103940072043313e-07	1.600000e+00	7.493031e-01
1.113705697043313e-07	1.600000e+00	7.506038e-01
1.123471322043312e-07	1.600000e+00	7.517178e-01
1.133236947043312e-07	1.600000e+00	7.526770e-01
1.143002572043312e-07	1.600000e+00	7.535068e-01
1.152768197043312e-07	1.600000e+00	7.542282e-01
1.162533822043312e-07	1.600000e+00	7.548583e-01
1.172299447043312e-07	1.600000e+00	7.554107e-01
1.182065072043312e-07	1.600000e+00	7.558972e-01
1.191830697043312e-07	1.600000e+00	7.563270e-01
1.201596322043312e-07	1.600000e+00	7.567084e-01
1.211361947043312e-07	1.600000e+00	7.570478e-01
1.221127572043312e-07	1.600000e+00	7.573508e-01
1.230893197043312e-07	1.600000e+00	7.576221e-01
1.240658822043312e-07	1.600000e+00	7.578658e-01
1.250424447043312e-07	1.600000e+00	7.580853e-01
1.260190072043312e-07	1.600000e+00	7.582834e-01
1.269955697043312e-07	1.600000e+00	7.584627e-01
1.279721322043312e-07	1.600000e+00	7.586253e-01
